S.No.,Age,Gender,Year in school,Subjects,Monthly_income,Financial_aid,Tuition,Housing,food,Junk food,Transport,Books,Entertainment,Personal,Technology,Recharge,Gym,Weekend,Health,Miscellaneous,Preferred_payment_method,Total,Average
124,23,Male,Senior,Biology,1460,436,3230,787,377,254,176,158,117,78,299,345,4000,450,84,43,Mobile Payment App,10834,722.2666667
125,20,Female,Freshman,Engineering,1354,427,3691,515,224,254,120,125,71,46,140,345,4000,450,184,177,Credit/Debit Card,10769,717.9333333
126,20,Male,Sophomore,Biology,836,620,4311,584,301,254,160,193,91,46,143,345,4000,450,120,53,Cash,11671,778.0666667
127,22,Male,Junior,Engineering,1212,529,4012,897,400,254,53,120,117,88,284,345,4000,450,119,105,Credit/Debit Card,11773,784.8666667
128,20,Non-binary,Senior,Engineering,1483,277,3413,554,182,254,138,275,72,35,160,345,4000,450,74,190,Credit/Debit Card,10419,694.6
129,22,Non-binary,Sophomore,Computer Science,998,935,5420,516,297,254,96,103,129,78,251,345,4000,450,109,63,Credit/Debit Card,13046,869.7333333
130,22,Non-binary,Senior,Biology,885,325,4389,907,317,254,144,126,149,89,243,345,4000,450,156,81,Credit/Debit Card,11975,798.3333333
131,25,Male,Senior,Engineering,726,333,3854,738,177,254,195,110,92,77,117,345,4000,450,30,50,Credit/Debit Card,10822,721.4666667
132,25,Female,Junior,Psychology,1037,990,4885,481,367,254,130,272,56,57,150,345,4000,450,92,22,Mobile Payment App,12551,836.7333333
133,22,Female,Freshman,Engineering,1456,993,3377,733,201,254,94,284,123,34,59,345,4000,450,77,97,Mobile Payment App,11121,741.4
134,24,Male,Junior,Economics,676,183,4129,600,135,254,75,227,25,22,200,345,4000,450,164,133,Mobile Payment App,10942,729.4666667
135,24,Female,Senior,Psychology,571,215,5579,424,133,254,149,139,29,58,275,345,4000,450,173,109,Mobile Payment App,12332,822.1333333
136,23,Male,Junior,Computer Science,1213,761,5944,768,246,254,196,165,52,68,198,345,4000,450,180,40,Mobile Payment App,13667,911.1333333
137,24,Female,Sophomore,Psychology,1112,547,5305,498,357,254,170,183,92,84,138,345,4000,450,92,197,Cash,12712,847.4666667
138,18,Female,Sophomore,Economics,1100,535,4834,593,201,254,197,78,92,44,178,345,4000,450,198,45,Credit/Debit Card,12044,802.9333333
139,21,Male,Sophomore,Psychology,526,375,4279,747,159,254,183,197,67,21,88,345,4000,450,58,108,Cash,11331,755.4
140,22,Male,Junior,Computer Science,951,202,3172,818,158,254,68,95,76,63,122,345,4000,450,47,96,Mobile Payment App,9966,664.4
141,23,Male,Sophomore,Computer Science,1301,163,5696,899,117,254,51,278,22,22,153,345,4000,450,70,150,Cash,12670,844.6666667
142,25,Male,Junior,Psychology,1103,5,5960,676,375,245,149,133,76,33,212,345,4000,450,165,169,Mobile Payment App,12993,866.2
143,24,Male,Senior,Computer Science,1083,466,5692,644,111,245,80,235,76,42,108,345,4000,450,65,73,Cash,12632,842.1333333
144,23,Female,Senior,Engineering,860,47,3057,614,235,245,115,117,71,72,226,345,4000,450,94,126,Cash,9814,654.2666667
145,18,Male,Senior,Biology,1354,882,3341,969,348,245,75,126,49,93,201,345,4000,450,116,178,Cash,11418,761.2
146,23,Male,Senior,Biology,877,847,4768,465,221,245,96,52,39,73,94,345,4000,450,141,64,Credit/Debit Card,11900,793.3333333
147,21,Male,Freshman,Engineering,649,577,3046,931,224,245,161,200,24,80,213,345,4000,450,135,180,Credit/Debit Card,10811,720.7333333
148,24,Male,Sophomore,Computer Science,897,220,4655,799,358,245,125,290,80,23,156,345,4000,450,177,46,Credit/Debit Card,11969,797.9333333
149,21,Non-binary,Freshman,Psychology,1147,872,3709,581,102,245,188,225,98,72,273,345,4000,450,126,166,Mobile Payment App,11452,763.4666667
150,23,Non-binary,Senior,Biology,1367,606,5577,916,260,245,78,213,145,71,223,345,4000,450,123,199,Credit/Debit Card,13451,896.7333333
151,21,Male,Freshman,Computer Science,647,382,4943,807,149,245,61,214,136,26,191,345,4000,450,102,107,Cash,12158,810.5333333
152,21,Female,Senior,Engineering,656,725,3360,931,329,245,188,95,120,92,102,345,4000,450,59,198,Credit/Debit Card,11239,749.2666667
153,19,Non-binary,Junior,Economics,1131,315,3194,468,328,245,177,118,26,69,66,345,4000,450,161,120,Mobile Payment App,10082,672.1333333
154,19,Female,Freshman,Psychology,1319,803,4160,677,159,245,73,229,140,38,108,345,4000,450,175,31,Cash,11633,775.5333333
155,22,Female,Freshman,Economics,917,856,5010,434,128,245,184,277,98,29,115,345,4000,450,61,66,Credit/Debit Card,12298,819.8666667
156,19,Female,Sophomore,Biology,872,206,5309,944,232,245,166,153,58,64,67,345,4000,450,167,86,Credit/Debit Card,12492,832.8
157,20,Male,Sophomore,Economics,901,115,3388,737,295,245,84,297,66,80,146,345,4000,450,100,93,Mobile Payment App,10441,696.0666667
158,18,Male,Junior,Engineering,536,535,5547,676,255,245,82,111,128,35,252,345,4000,450,160,79,Credit/Debit Card,12900,860
159,25,Female,Senior,Psychology,506,931,4087,998,251,245,175,80,82,82,76,345,4000,450,152,56,Mobile Payment App,12010,800.6666667
160,23,Female,Junior,Economics,1201,635,3748,459,291,245,56,199,100,81,290,345,4000,450,135,131,Credit/Debit Card,11165,744.3333333
161,25,Non-binary,Senior,Computer Science,1189,48,5568,815,159,245,79,66,113,68,91,345,4000,450,94,37,Cash,12178,811.8666667
162,23,Female,Junior,Economics,546,387,3890,747,282,245,140,53,35,38,67,345,4000,450,75,181,Credit/Debit Card,10935,729
163,19,Non-binary,Senior,Biology,1181,989,3162,559,196,245,137,89,46,60,249,345,4000,450,134,200,Cash,10861,724.0666667
164,18,Female,Sophomore,Economics,810,292,3953,771,340,245,51,98,120,88,133,345,4000,450,58,113,Cash,11057,737.1333333
165,19,Non-binary,Freshman,Engineering,855,397,4028,633,400,245,146,174,148,42,77,345,4000,450,153,122,Cash,11360,757.3333333
166,23,Male,Sophomore,Biology,1354,17,5911,631,385,245,160,112,34,32,225,345,4000,450,173,60,Cash,12780,852
167,20,Male,Freshman,Psychology,1056,861,5433,405,183,245,194,187,61,66,144,345,4000,450,107,22,Cash,12703,846.8666667
168,19,Male,Freshman,Economics,620,215,4981,704,243,245,197,285,135,83,192,345,4000,450,36,197,Credit/Debit Card,12308,820.5333333
169,24,Female,Freshman,Economics,1207,339,4361,638,201,245,143,241,112,29,86,345,4000,450,139,110,Cash,11439,762.6
170,21,Non-binary,Sophomore,Psychology,621,456,5893,960,199,245,124,278,115,48,193,345,4000,450,178,68,Cash,13552,903.4666667
171,25,Female,Senior,Engineering,1033,64,4249,517,104,245,64,259,131,66,234,345,4000,450,63,104,Mobile Payment App,10895,726.3333333
172,19,Non-binary,Freshman,Psychology,722,2,3701,450,102,245,82,267,38,65,129,345,4000,450,186,125,Mobile Payment App,10187,679.1333333
173,20,Male,Freshman,Psychology,1304,76,3564,847,180,245,92,300,90,64,113,345,4000,450,34,113,Mobile Payment App,10513,700.8666667
174,21,Non-binary,Junior,Biology,912,970,3424,991,348,245,181,86,134,70,175,345,4000,450,40,184,Credit/Debit Card,11643,776.2
175,23,Male,Sophomore,Biology,963,871,4951,778,253,245,105,135,124,46,185,345,4000,450,164,160,Cash,12812,854.1333333
176,18,Female,Junior,Engineering,1286,618,3015,925,103,245,129,56,50,93,215,345,4000,450,43,105,Mobile Payment App,10392,692.8
177,18,Male,Freshman,Economics,1104,180,4653,683,362,245,185,90,79,91,91,345,4000,450,99,64,Credit/Debit Card,11617,774.4666667
178,23,Non-binary,Senior,Economics,697,927,3756,734,394,245,192,109,80,73,247,345,4000,450,69,195,Cash,11816,787.7333333
179,21,Male,Freshman,Engineering,1230,968,4254,540,285,245,99,169,101,57,77,345,4000,450,87,43,Cash,11720,781.3333333
180,25,Female,Junior,Engineering,1345,649,3889,919,311,245,133,68,149,66,69,345,4000,450,159,162,Mobile Payment App,11614,774.2666667
181,20,Female,Junior,Biology,1411,517,3074,874,151,245,77,219,21,44,280,345,4000,450,57,176,Mobile Payment App,10530,702
182,24,Female,Freshman,Economics,1355,282,5998,617,311,245,79,264,35,73,254,345,4000,450,131,164,Credit/Debit Card,13248,883.2
183,24,Non-binary,Junior,Economics,608,918,4056,568,336,245,186,159,82,89,251,345,4000,450,166,142,Mobile Payment App,11993,799.5333333
184,22,Female,Senior,Biology,566,480,3542,834,360,245,64,289,48,86,226,345,4000,450,132,120,Credit/Debit Card,11221,748.0666667
185,25,Female,Junior,Economics,1310,982,4548,837,219,245,60,72,82,51,260,345,4000,450,30,171,Mobile Payment App,12352,823.4666667
186,24,Female,Sophomore,Biology,1354,52,3169,849,335,245,60,199,77,45,101,345,4000,450,195,125,Credit/Debit Card,10247,683.1333333
187,23,Male,Sophomore,Economics,1020,17,4645,943,305,245,156,240,123,53,290,345,4000,450,77,63,Cash,11952,796.8
188,24,Non-binary,Senior,Engineering,1394,871,4450,416,268,245,133,146,22,68,172,345,4000,450,126,185,Cash,11897,793.1333333
189,22,Non-binary,Sophomore,Psychology,954,337,5756,717,159,245,195,196,138,26,154,345,4000,450,160,85,Credit/Debit Card,12963,864.2
190,21,Male,Senior,Biology,1448,794,3959,624,171,245,172,103,59,89,206,345,4000,450,182,158,Mobile Payment App,11557,770.4666667
191,21,Non-binary,Sophomore,Biology,968,8,4078,670,108,245,56,129,26,66,272,345,4000,450,64,151,Credit/Debit Card,10668,711.2
192,19,Male,Freshman,Economics,1450,809,4103,845,255,245,89,136,110,85,183,345,4000,450,85,110,Credit/Debit Card,11850,790
193,22,Female,Freshman,Computer Science,1316,938,4316,953,153,245,179,229,105,66,184,345,4000,450,151,137,Credit/Debit Card,12451,830.0666667
194,24,Male,Freshman,Computer Science,904,955,4075,875,310,245,197,201,91,83,224,345,4000,450,186,101,Cash,12338,822.5333333
195,23,Female,Junior,Computer Science,1488,77,5418,545,112,245,193,158,21,64,257,345,4000,450,168,86,Cash,12139,809.2666667
196,20,Female,Junior,Psychology,893,258,5877,469,131,245,192,222,73,84,125,345,4000,450,176,74,Cash,12721,848.0666667
197,21,Male,Freshman,Biology,527,851,4464,683,390,245,194,185,127,65,188,345,4000,450,168,193,Credit/Debit Card,12548,836.5333333
198,24,Male,Senior,Biology,804,640,3043,927,347,245,167,151,114,35,206,345,4000,450,94,169,Credit/Debit Card,10933,728.8666667
199,25,Female,Junior,Engineering,547,233,5070,633,164,245,94,147,123,25,236,345,4000,450,116,37,Credit/Debit Card,11918,794.5333333
200,19,Non-binary,Freshman,Computer Science,523,892,4683,438,180,245,65,208,108,59,192,345,4000,450,92,132,Cash,12089,805.9333333
201,24,Female,Senior,Economics,1040,970,5293,701,323,245,97,196,93,62,170,345,4000,450,90,64,Credit/Debit Card,13099,873.2666667
